alpha,method,MRR,Recall@5,Recall@10,Recall@20
0.00,section,0.316,0.264,0.387,0.505
0.00,combined,0.316,0.264,0.387,0.505
0.00,component,0.316,0.264,0.387,0.505
0.05,section,0.315,0.260,0.397,0.500
0.05,combined,0.313,0.270,0.400,0.495
0.05,component,0.317,0.273,0.398,0.491
0.10,section,0.322,0.268,0.404,0.489
0.10,combined,0.320,0.292,0.399,0.506
0.10,component,0.314,0.291,0.403,0.514
0.15,section,0.325,0.268,0.400,0.493
0.15,combined,0.321,0.307,0.408,0.532
0.15,component,0.327,0.307,0.403,0.538
0.20,section,0.337,0.277,0.389,0.502
0.20,combined,0.351,0.310,0.427,0.539
0.20,component,0.324,0.307,0.419,0.538
0.25,section,0.349,0.286,0.396,0.502
0.25,combined,0.363,0.311,0.436,0.544
0.25,component,0.347,0.315,0.421,0.549
0.30,section,0.354,0.290,0.417,0.519
0.30,combined,0.388,0.317,0.448,0.546
0.30,component,0.374,0.329,0.421,0.549
0.35,section,0.362,0.284,0.433,0.530
0.35,combined,0.399,0.326,0.460,0.548
0.35,component,0.388,0.328,0.430,0.547
0.40,section,0.380,0.286,0.420,0.536
0.40,combined,0.407,0.324,0.463,0.577
0.40,component,0.403,0.331,0.442,0.554
0.45,section,0.399,0.298,0.413,0.541
0.45,combined,0.427,0.330,0.448,0.610
0.45,component,0.422,0.334,0.458,0.593
0.50,section,0.423,0.324,0.412,0.556
0.50,combined,0.442,0.329,0.454,0.657
0.50,component,0.432,0.340,0.465,0.599
0.55,section,0.418,0.325,0.412,0.548
0.55,combined,0.456,0.339,0.494,0.682
0.55,component,0.446,0.348,0.473,0.639
0.60,section,0.430,0.330,0.416,0.584
0.60,combined,0.458,0.344,0.516,0.699
0.60,component,0.448,0.349,0.506,0.666
0.65,section,0.444,0.330,0.418,0.607
0.65,combined,0.470,0.413,0.556,0.714
0.65,component,0.465,0.376,0.528,0.707
0.70,section,0.443,0.319,0.444,0.606
0.70,combined,0.489,0.437,0.566,0.720
0.70,component,0.478,0.410,0.564,0.749
0.75,section,0.451,0.318,0.463,0.604
0.75,combined,0.496,0.448,0.592,0.740
0.75,component,0.516,0.428,0.583,0.750
0.80,section,0.445,0.352,0.453,0.606
0.80,combined,0.491,0.465,0.598,0.749
0.80,component,0.507,0.469,0.585,0.752
0.85,section,0.435,0.326,0.454,0.570
0.85,combined,0.483,0.429,0.592,0.746
0.85,component,0.486,0.461,0.606,0.779
0.90,section,0.414,0.319,0.468,0.573
0.90,combined,0.483,0.423,0.573,0.758
0.90,component,0.481,0.449,0.615,0.767
0.95,section,0.405,0.294,0.426,0.559
0.95,combined,0.456,0.433,0.555,0.741
0.95,component,0.470,0.424,0.578,0.765
1.00,section,0.393,0.263,0.387,0.539
1.00,combined,0.429,0.429,0.523,0.712
1.00,component,0.437,0.413,0.568,0.730
